Tanggal,RR
8/16/2022,6.2
8/17/2022,25
8/18/2022,14.4
8/19/2022,0.5
8/20/2022,0.7
8/21/2022,3
8/22/2022,17.6
8/23/2022,8888
8/24/2022,8.4
8/25/2022,1
8/26/2022,3.4
8/27/2022,8888
8/28/2022,7.2
8/29/2022,11.4
8/30/2022,2
8/31/2022,0
9/1/2022,24.9
9/2/2022,2.7
9/3/2022,21.7
9/4/2022,0
9/5/2022,0
9/6/2022,0
9/7/2022,17.3
9/8/2022,0
9/9/2022,3.5
9/10/2022,52.8
9/11/2022,0
9/12/2022,14.5
9/13/2022,11.5
9/14/2022,0
9/15/2022,0
9/16/2022,0
9/17/2022,0
9/18/2022,0
9/19/2022,0
9/20/2022,1.9
9/21/2022,0
9/22/2022,10.8
9/23/2022,8888
9/24/2022,12
9/25/2022,10.8
9/26/2022,4.7
9/27/2022,0
9/28/2022,0
9/29/2022,0
9/30/2022,8888
10/1/2022,19.9
10/2/2022,19.5
10/3/2022,19.2
10/4/2022,1
10/5/2022,0.2
10/6/2022,8888
10/7/2022,18.7
10/8/2022,8888
10/9/2022,0
10/10/2022,0
10/11/2022,0.2
10/12/2022,0.5
10/13/2022,0.5
10/14/2022,0
10/15/2022,2
10/16/2022,1.3
10/17/2022,4.8
10/18/2022,0
10/19/2022,8888
10/20/2022,0
10/21/2022,8888
10/22/2022,8.2
10/23/2022,138.6
10/24/2022,0
10/25/2022,30
10/26/2022,7.1
10/27/2022,42.3
10/28/2022,21
10/29/2022,0
10/30/2022,1.5
10/31/2022,0.5
11/1/2022,0
11/2/2022,0
11/3/2022,0
11/4/2022,0.4
11/5/2022,2.3
11/6/2022,0
11/7/2022,0
11/8/2022,2.7
11/9/2022,0.9
11/10/2022,8888
11/11/2022,18.8
11/12/2022,3.7
11/13/2022,6.5
11/14/2022,0
11/15/2022,3
11/16/2022,0.8
11/17/2022,26.5
11/18/2022,0.3
11/19/2022,14.4
11/20/2022,0
11/21/2022,8888
11/22/2022,0
11/23/2022,0
11/24/2022,3
11/25/2022,0
11/26/2022,0
11/27/2022,0
11/28/2022,0
11/29/2022,0
11/30/2022,0
12/1/2022,0
12/2/2022,0
12/3/2022,8888
12/4/2022,1.4
12/5/2022,0
12/6/2022,0
12/7/2022,1.3
12/8/2022,26.1
12/9/2022,0.2
12/10/2022,0.7
12/11/2022,0
12/12/2022,8888
12/13/2022,8888
12/14/2022,0
12/15/2022,0
12/16/2022,2
12/17/2022,22.9
12/18/2022,0
12/19/2022,0
12/20/2022,5.5
12/21/2022,35.7
12/22/2022,3.3
12/23/2022,60.5
12/24/2022,0
12/25/2022,2.5
12/26/2022,1.9
12/27/2022,6.8
12/28/2022,8888
12/29/2022,5.5
12/30/2022,8888
12/31/2022,0
1/1/2023,56.8
1/2/2023,8888
1/3/2023,3
1/4/2023,0
1/5/2023,8888
1/6/2023,3.8
1/7/2023,0
1/8/2023,8888
1/9/2023,0
1/10/2023,0
1/11/2023,0
1/12/2023,0
1/13/2023,0
1/14/2023,0
1/15/2023,0
1/16/2023,0
1/17/2023,1.9
1/18/2023,26.4
1/19/2023,0.8
1/20/2023,22.9
1/21/2023,0
1/22/2023,3.1
1/23/2023,0
1/24/2023,1.8
1/25/2023,2.3
1/26/2023,8888
1/27/2023,3.8
1/28/2023,1.1
1/29/2023,3.2
1/30/2023,0
1/31/2023,0
2/1/2023,9
2/2/2023,3.7
2/3/2023,12.4
2/4/2023,8888
2/5/2023,4.6
2/6/2023,0
2/7/2023,0.5
2/8/2023,3.9
2/9/2023,1.4
2/10/2023,0
2/11/2023,5.1
2/12/2023,31.3
2/13/2023,8888
2/14/2023,0
2/15/2023,0
2/16/2023,8.5
2/17/2023,0
2/18/2023,0.3
2/19/2023,8888
2/20/2023,7.5
2/21/2023,10.6
2/22/2023,6.9
2/23/2023,54.7
2/24/2023,4.1
2/25/2023,1
2/26/2023,8.5
2/27/2023,15.8
2/28/2023,12.5
3/1/2023,17.5
3/2/2023,21.7
3/3/2023,2.3
3/4/2023,11.1
3/5/2023,27.5
3/6/2023,9.6
3/7/2023,0
3/8/2023,9.8
3/9/2023,18
3/10/2023,8888
3/11/2023,1
3/12/2023,0
3/13/2023,16
3/14/2023,3
3/15/2023,0
3/16/2023,0
3/17/2023,0
3/18/2023,6
3/19/2023,0
3/20/2023,0
3/21/2023,0
3/22/2023,21
3/23/2023,0
3/24/2023,7.2
3/25/2023,0
3/26/2023,0
3/27/2023,0
3/28/2023,0
3/29/2023,7
3/30/2023,13.4
3/31/2023,4.3
4/1/2023,7
4/2/2023,0
4/3/2023,0
4/4/2023,0
4/5/2023,3.4
4/6/2023,0
4/7/2023,0
4/8/2023,0.2
4/9/2023,2.4
4/10/2023,16.3
4/11/2023,0
4/12/2023,0
4/13/2023,0
4/14/2023,1
4/15/2023,0.4
4/16/2023,0
4/17/2023,0
4/18/2023,0
4/19/2023,0
4/20/2023,4.3
4/21/2023,0
4/22/2023,8888
4/23/2023,1.1
4/24/2023,6.2
4/25/2023,9.3
4/26/2023,1.5
4/27/2023,0
4/28/2023,0
4/29/2023,3.6
4/30/2023,0
5/1/2023,0
5/2/2023,0
5/3/2023,107.3
5/4/2023,13
5/5/2023,8888
5/6/2023,0
5/7/2023,0
5/8/2023,0
5/9/2023,61
5/10/2023,0
5/11/2023,0
5/12/2023,3.3
5/13/2023,2.2
5/14/2023,10.3
5/15/2023,0
5/16/2023,0
5/17/2023,0
5/18/2023,30.4
5/19/2023,7.7
5/20/2023,0.5
5/21/2023,0
5/22/2023,8888
5/23/2023,0
5/24/2023,0
5/25/2023,0
5/26/2023,0
5/27/2023,1.6
5/28/2023,5.4
5/29/2023,3.7
5/30/2023,0
5/31/2023,0
6/1/2023,0
6/2/2023,0
6/3/2023,0
6/4/2023,15.9
6/5/2023,0
6/6/2023,0
6/7/2023,0
6/8/2023,13.2
6/9/2023,1.6
6/10/2023,0
6/11/2023,1.3
6/12/2023,0
6/13/2023,0
6/14/2023,10.2
6/15/2023,5
6/16/2023,5.8
6/17/2023,9
6/18/2023,0
6/19/2023,2.8
6/20/2023,3.6
6/21/2023,8888
6/22/2023,0
6/23/2023,3.2
6/24/2023,18.2
6/25/2023,5
6/26/2023,2
6/27/2023,3.4
6/28/2023,0
6/29/2023,0
6/30/2023,0
7/1/2023,1.5
7/2/2023,0
7/3/2023,0
7/4/2023,0
7/5/2023,0.8
7/6/2023,0
7/7/2023,0
7/8/2023,0.6
7/9/2023,1.5
7/10/2023,13.7
7/11/2023,29
7/12/2023,0
7/13/2023,0
7/14/2023,1
7/15/2023,0
7/16/2023,2
7/17/2023,0.2
7/18/2023,0
7/19/2023,0
7/20/2023,0
7/21/2023,0
7/22/2023,0
7/23/2023,0.6
7/24/2023,0
7/25/2023,4.6
7/26/2023,0
7/27/2023,0
7/28/2023,0
7/29/2023,2.5
7/30/2023,0
7/31/2023,0
8/1/2023,0
8/2/2023,0
8/3/2023,4.1
8/4/2023,4.6
8/5/2023,0
8/6/2023,0
8/7/2023,0
8/8/2023,0
8/9/2023,0.5
8/10/2023,0
8/11/2023,0
8/12/2023,0
8/13/2023,0
8/14/2023,0
8/15/2023,0
8/16/2023,0
8/17/2023,0
8/18/2023,0
8/19/2023,0
8/20/2023,0
8/21/2023,8888
8/22/2023,0
8/23/2023,0
8/24/2023,0
8/25/2023,0
8/26/2023,0
8/27/2023,0.2
8/28/2023,0
8/29/2023,0
8/30/2023,0
8/31/2023,0
9/1/2023,0
9/2/2023,0
9/3/2023,0
9/4/2023,0
9/5/2023,0
9/6/2023,0
9/7/2023,0
9/8/2023,0.6
9/9/2023,0
9/10/2023,0
9/11/2023,0
9/12/2023,0
9/13/2023,0
9/14/2023,0.2
9/15/2023,0
9/16/2023,0
9/17/2023,0
9/18/2023,0
9/19/2023,0
9/20/2023,3.4
9/21/2023,0
9/22/2023,0
9/23/2023,0
9/24/2023,0
9/25/2023,0
9/26/2023,0
9/27/2023,0
9/28/2023,0
9/29/2023,0
9/30/2023,0
10/1/2023,0
10/2/2023,0
10/3/2023,0
10/4/2023,0
10/5/2023,0
10/6/2023,0
10/7/2023,0
10/8/2023,0
10/9/2023,0
10/10/2023,0
10/11/2023,0
10/12/2023,0
10/13/2023,0
10/14/2023,0
10/15/2023,0
10/16/2023,0
10/17/2023,0
10/18/2023,0
10/19/2023,0
10/20/2023,0
10/21/2023,0
10/22/2023,0
10/23/2023,0
10/24/2023,0
10/25/2023,0
10/26/2023,0.2
10/27/2023,0
10/28/2023,0
10/29/2023,0
10/30/2023,0
10/31/2023,0
11/1/2023,0
11/2/2023,0
11/3/2023,0
11/4/2023,31.5
11/5/2023,7.4
11/6/2023,4.5
11/7/2023,1
11/8/2023,0
11/9/2023,0
11/10/2023,0
11/11/2023,0
11/12/2023,0
11/13/2023,0
11/14/2023,0.5
11/15/2023,1.9
11/16/2023,0
11/17/2023,0
11/18/2023,0
11/19/2023,0
11/20/2023,0
11/21/2023,0
11/22/2023,0
11/23/2023,0
11/24/2023,0
11/25/2023,6.4
11/26/2023,21.5
11/27/2023,0
11/28/2023,2.5
11/29/2023,1.7
11/30/2023,2
12/1/2023,76.5
12/2/2023,3
12/3/2023,0
12/4/2023,3
12/5/2023,5.5
12/6/2023,5
12/7/2023,23
12/8/2023,5.4
12/9/2023,0
